storename,address_original,address_normalize[0],address_normalize[1],?????,url,?????,????,????,????????,??????????,????????,????????,??????,???????????,????,?????,????(??|??|???),?????(??|??|???),????(??|??|???),?????(??|??|???),???1????????,??,??,page,???
??????,??????3-20-25,na,na,6/4/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000062,na,????,????,na,['?????'],na,na,"['????', '??????????????']",na,na,['??????'],1|1|-,na,na,3|3|-,25,na,na,1,
??????,?????4-5-21,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000093,na,?????,?????,['?????????'],na,na,na,['????'],na,['??????'],['??????'],1|1|-,na,na,1|-|1,7,na,na,1,
??????,?????2-20-14,na,na,2/4/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000065,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,['????'],na,['??????'],na,2|2|-,na,na,na,21,na,na,1,
??????,?????3-4-9,na,na,7/30/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000070,na,???,???,['?????????'],['?????'],na,na,"['????', '??????????????']",na,"['??(????????)', '??????']","['??????', '?????????????']",1|1|-,na,na,1|-|1,6.4,na,na,1,
?????????,??????1-13-7,na,na,6/21/2016,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000014,na,???,???,"['?????????', '?????????', '????????????', '????????????(????)?????', '?????????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????', '????????????']",na,na,"['??????', '???????', '??????']",2|2|-,na,na,2.5|2|0.5,25.6,na,na,1,
????????????????,?????1-14-8,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000432,na,??? ?? ??,??? ?? ??,['?????????'],"['?????', '??????']",na,na,['????'],na,na,na,4|2|2,na,na,7.5|6|1.5,70,na,na,1,
?????????????,?????4-1-1,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000004,na,?????,?????,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['???????', '?????????', '?????????????', '??????????????', '????????????']",na,na,"['??????', '???????']",1.5|1|0.5,na,na,3|2|1,15,na,na,1,
??????,??????2-16-9,na,na,8/7/2009,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000021,na,????,????,['?????????'],na,na,na,['??????????????'],na,na,na,1|-|-,na,na,1|1|-,20,na,na,1,
??????,??????3-19-4,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000031,na,????,????,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,['??????'],na,3|3|-,na,na,1.5|1|1,15,na,na,1,
??????,?????1-15-6,na,na,9/10/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000116,na,?? ?,?? ?,['?????????'],na,na,na,"['????', '??????????????']",na,"['??(????????)', '??????']","['??????', '???????']",1.5|1|0.5,na,na,1.5|-|1.5,23,na,na,1,
?????????·????,?????1-7-15,na,na,6/11/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000702,na,????,????,"['?????????', '?????????', '????????????']","['?????', '??????', '???????']",na,na,"['????', '?????????????', '????????', '??????????????', '????????????']",na,"['??????', '????????', '??????????', '??????????????']",['??????'],4|4|-,na,na,10.9|10|0.9,80,na,na,2,
??????,??????1-17-4,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000016,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????']",na,['??(????????)'],['??????'],1|1|-,na,na,3|1|2,16,na,na,2,
??????,?????1045-7,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000668,na,?? ??,?? ??,"['?????????', '?????????']",['??????'],na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],na,1|1|-,na,na,2.5|2|0.5,23.5,na,na,2,
???????,?????1-1-1,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000082,na,?? ??,?? ??,['?????????'],['??????'],na,na,"['????', '??????????????']",na,"['??????', '????????']",['??????'],1|1|-,na,na,3|3|-,33,na,na,2,
??????,?????1-12-33,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000090,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????']",2|2|-,na,na,3|1|2,35,na,na,2,
???? ????????????,??????3-18-5,na,na,6/23/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000030,na,?? ?,?? ?,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????', '????????????']",na,na,['??????'],2|1|1,na,na,3|1|2,20,na,na,2,
???????,??????9-6,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000051,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '??????????????']",na,na,"['??????', '???????']",2|1|1,na,na,1|1|-,20,na,na,2,
??????,?????2-11-11,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000101,na,???,???,['?????????'],['??????'],na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,na,21.2,na,na,2,
OZ???????????,??????1261-25,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000500,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??(????????)', '??????']",['??????'],1|1|-,na,na,4|2|2,na,na,na,2,
???????,??????247,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000128,na,??? ??,??? ??,na,na,na,na,na,na,na,['??????'],1|1|-,na,na,na,7.4,na,na,2,
???????,????1??11?25?,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000661,na,??? ??,??? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,"['??????', '???????']",2|2|-,na,na,1|1|-,21,na,na,2,
????????,?????5-8-8,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000075,na,?? ??,?? ??,"['?????????', '?????????']",['??????'],na,na,"['????', '?????????????']",na,"['??????', '????????']",na,3|2|1,na,na,2|1|1,na,na,na,2,
??????,??????6-3,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000033,na,????,????,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,['????'],na,['??????'],"['??????', '???????', '??????????????', '?????????????', '??????']",1.4|1|0.4,na,na,3|3|-,28.5,na,na,2,
??????,??????2??39-17,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000061,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",na,na,na,"['????', '?????????????', '??????????????']",na,"['??(?????????????????)', '??????']","['??????????????', '?????????????']",1|1|-,na,na,1|-|1,6,na,na,2,
???????,??????374,na,na,10/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190001258,na,-,-,['?????????'],na,na,na,['????'],na,na,na,1|1|-,na,na,2|1|1,na,na,na,2,
???????????,?????1-8-12,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000064,na,?? ?,?? ?,['?????????'],na,na,na,na,na,na,na,1|1|-,na,na,na,10,na,na,2,
????????????,??????1174,na,na,6/2/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190000485,na,???? ?? ??,?? ?     ?? ?,['?????????'],na,na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,1|-|1,na,na,1|-|1,?????,na,na,2,
??????,?????4-8-12,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000094,na,????,????,['?????????'],['?????'],na,na,"['????', '??????????????']",na,['??(????????)'],['?????????????'],2|1|1,na,na,na,15,na,na,2,
???????,???????2-40-1,na,na,9/25/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000115,na,?? ?,?? ?,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????', '?????????????', '??????????????', '????????????']",na,na,"['??????', '??????']",1|1|-,na,na,1.5|1|0.5,5,na,na,2,
??????,???????3-37 ??????,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000105,na,????,????,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,['??????'],"['??????', '?????????????']",2|2|-,na,na,1|1|-,33.5,na,na,2,
???????,??????3-9-12,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000032,na,?????,?????,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '???????', '?????????????', '????????', '??????????????', '????????????']",na,['??????'],['??????'],1|1|-,na,na,1|1|-,11,na,na,3,
??????,?????1-4-4,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000002,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????', '????????????']",na,na,na,1|1|-,na,na,na,12,na,na,3,
?????? ????????? ????????,??????2-9-28 ???????,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000027,na,?????? ????????? ??? ????,?? ??,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['?????????????', '????????', '??????????????', '????????????']",na,"['??(????????)', '??????', '????????', '??????????????', '??????????????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",4.4|3|1.4,na,na,9.8|9|0.8,94.9,na,na,3,
??????,?????1-7-14,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000653,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,na,0,na,na,3,
??????,??????43,na,na,5/23/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000050,na,????,????,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],"['??????', '???????']",2|1|1,na,na,na,20,na,na,3,
???????,??????1-15-7,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000077,na,?????,?????,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,-|-|-,na,na,na,3,
????????,??????4297-14,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000087,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,"['??????', '???????']",1|1|-,na,na,1|1|-,10,na,na,3,
??????,?????559-1,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000038,na,????,????,['?????????'],['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,1|1|-,6.6,na,na,3,
?????????????,?????14-6 ?????????????,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000039,na,????,????,['?????????'],['??·?·????????·??·?????'],na,na,"['?????????????', '????????', '??????????????']",na,na,na,na,na,na,na,2.5,na,na,3,
??????,?????8-27-8,na,na,9/23/2011,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000627,na,?? ???,?? ???,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],na,2|2|-,na,na,1|1|-,na,na,na,3,
?????? ??? ?????????,?????1-16-18,na,na,6/8/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000016,na,?? ??,?? ??,['?????????'],['?????'],na,na,"['?????????????', '????????', '??????????????', '??????????????', '?????????', '????????????']",na,na,na,2.5|2|0.5,na,na,3|3|-,?????,na,na,3,
??????,?????290??3 nanaho WOOD TERRACE 1?C??,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000694,na,?? ??,?? ??,['?????????'],['?????'],na,na,"['????', '??????????????']",na,['??????'],['??????'],1.5|1|0.5,na,na,1|-|1,na,na,na,3,
??????,?????4-1-4,na,na,5/29/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000048,na,????,????,"['?????????', '????????????(????)?????']",['?????'],na,na,"['????', '?????????????', '??????????????']",na,['??????'],"['??????', '??????']",1|-|-,na,na,2|-|-,35,na,na,3,
????????????????,??????11-35,na,na,6/21/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000001,na,???????????? ??? ?? ??,?? ??,"['????????????(????)?????', '?????????']",na,na,na,"['????????????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '???????????', '???????', '?????????', '????????????']",na,"['???????', '??????']","['??????', '???????', '??????????????', '?????????????']",-|-|-,na,na,-|-|-,?????,na,na,3,
?????,?????2-17-2,na,na,3/21/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000042,na,?? ??,?? ??,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '????????', '??????????????']",na,na,na,1|1|-,na,na,1.5|1|0.5,12,na,na,3,
?????????,?????2-3-10,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000669,na,?? ??,?? ??,"['?????????', '?????????', '????????????(????)?????']","['??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,"['??????', '????????', '??????????']","['??????', '???????', '??????']",1|1|-,na,na,4|2|2,na,na,na,3,
??????,?????1-11-32,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000053,na,?? ?,?? ?,"['?????????', '????????????(????)?????', '?????????']",['?????'],na,na,"['?????????????', '??????????????']",na,"['??(?????????????????)', '??(????????)', '??????']","['??????', '???????', '?????????????', '??????']",1|1|-,na,na,na,15,na,na,3,
??????,??????1-2-3,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000060,na,?????,?????,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????', '??????????????', '????????????']",na,"['??(????????)', '??????', '????????', '??????????????????????']",['??????'],2|2|-,na,na,2|2|-,15,na,na,3,
???????????,?????4-16-20,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000008,na,????,????,"['?????????', '????????????']",na,na,na,['??????????????'],na,na,na,na,na,na,4|2|2,12.7,na,na,3,
??????,???????1150,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000056,na,?? ?,?? ?,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,['??????'],na,1|1|-,na,na,3|3|-,35,na,na,3,
??????,?????2-9-8,na,na,6/23/2016,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000068,na,?? ?,?? ?,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,na,12,na,na,4,
????,???????441-1,na,na,7/1/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000037,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '????????', '??????????????']",na,na,na,1|1|-,na,na,1|1|-,15,na,na,4,
??????,?????1-4-20,na,na,6/29/2015,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000079,na,????,????,"['?????????', '????????????(????)?????']",na,na,na,"['????', '??????????????']",na,na,['???????'],1|1|-,na,na,na,13,na,na,4,
???????,?????147-1 ??????????SHOPS??,na,na,10/21/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000685,na,?? ?,?? ?,"['?????????', '?????????']",['?????'],na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,4|2|2,11.2,na,na,4,
????????,???????184-10,na,na,6/29/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000058,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,3.5|3|0.5,28,na,na,4,
?? ??,?????1-2-26,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000118,na,?? ??,?? ??,"['?????????', '?????????']",na,na,na,"['????', '??????????????']",na,['??(????????)'],['??????'],2|2|-,na,na,2|2|-,40,na,na,4,
??·????GOOD SMILE,?????1-4-1,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000670,na,?? ??,?? ??,"['?????????', '?????????']",['?????'],na,na,['??????????????'],na,na,na,7|4|3,na,na,4|2|2,40,na,na,4,
???? ??????,??????6-10,na,na,5/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000097,na,????????????? ????,????,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,4|4|-,47.3,na,na,4,
??????,?????1-10-1,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000110,na,?? ??,?? ??,na,na,na,na,"['????', '??????????????']",na,['??????'],na,1|1|-,na,na,2|-|2,20,na,na,4,
?????,?????1-17-19,na,na,7/26/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000502,na,?? ??,?? ??,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],['??????'],1|1|-,na,na,3|2|0.3,na,na,na,4,
??????,??????366,na,na,7/3/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000005,na,???? ?? ??,?? ?,na,"['?????', '??????', '??????', '??????', '??·?·????????·??·?????', '???????']",na,na,"['????', '????????????', '?????????????', '????????', '??????????????', '??????????????', '???????', '????????????']",na,"['???????', '??????', '????????·??', '??????????????', '???????????????????', '??????', '????????????']","['??????', '???????', '??????????????', '?????????????']",2|2|-,na,na,2.4|1|1.4,?????,na,na,4,
? ??·???????,??????2??1?8? ??????201??,na,na,6/3/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000654,na,?? ???,?? ???,"['?????????', '?????????']","['?????', '??????']",na,na,['????'],na,na,na,1|1|-,na,na,2|2|-,na,na,na,4,
?????????,?????4-13-5,na,na,8/7/2012,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000639,na,?? ??,?? ??,"['?????????', '?????????', '???????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '?????????????', '??????????????', '????????????']",na,['??????'],['??????'],1|1|-,na,na,3|1|2,20,na,na,4,
???????,???????7-7,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000107,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????']",na,na,na,2|2|-,na,na,na,10,na,na,4,
??????,?????2-1-16,na,na,5/23/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000108,na,???,???,['?????????'],na,na,na,"['????', '?????????????']",na,na,"['??????', '???????']",1|1|-,na,na,1|1|-,20,na,na,4,
??????,?????4-10-5,na,na,3/21/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000007,na,????,????,['?????????'],na,na,na,['??????????????'],na,na,"['??????', '??????']",1|-|-,na,na,1|-|1,8.5,na,na,4,
??????,???????2-7,na,na,5/31/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000011,na,????,????,"['?????????', '????????????(????)?????', '?????????']",na,na,na,"['????', '??????????????']",na,"['??(?????????????????)', '??(????????)', '??????', '????????', '??????????', '??????????????', '??????????????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",2|2|-,na,na,0.5|-|0.5,18,na,na,4,
????????? ????????????,?????5-19-7,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000640,na,????????? ??? ????,?? ??,['????????????(????)?????'],"['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,na,['??????'],1|1|-,na,na,7|4|3,58,na,na,4,
??????,?????4-2-45,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000074,na,????,????,['?????????'],['?????'],na,na,['????'],na,"['??(?????????????????)', '??????']",na,1|1|-,na,na,5|-|5,18.1,na,na,4,
????????,?????1-1-35,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000503,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,na,2|1|1,na,na,6|3|3,na,na,na,4,
